#Filename	thresholding	bw_noisy(%)	part_cover(%)	bw_nonoise(%)	anal_part_error	noise_cover(%)	corr_cov(%)	nanoparticles	IMJ particles (no noise)	(%)singles_ratio_equiv_nonoise	(%)doubles_ratio_equiv_nonoise	(%)mids_ratio_equiv_nonoise	(%)bigs_ratio_equiv_nonoise	protein (cluster style/fill cracks)	Coverage style	%bsa singles	%bsa doubles	%bsa mids	%bsa bigs	bsa total	Min Size Criteria Met	Diam Est (nm)	Sigma Est (nm)
f1_b1_30k1kx1_high.tif	(122, 255)	43.56	40.46	43.56	7.53	0.0	220.69	39974263	240079	0.08	0.25	0.72	98.94	hemisphere, False	Advanced	1.07	2.22	8.49	88.22	180908374	False	None	None
f2_b2_30k31_low.tif	(92, 255)	43.41	40.14	43.41	7.73	0.0	219.96	32508185	296949	0.12	0.44	1.07	98.37	hemisphere, False	Advanced	1.33	3.16	10.39	85.12	177772466	False	None	None
f1_b2_30k21_high.tif	(140, 255)	16.47	16.14	16.47	2.15	0.0	83.98	1777205	863924	19.2	34.35	32.15	14.29	hemisphere, False	Advanced	25.63	31.2	40.23	2.95	75664117	False	None	None
f2_b1_30k31_high.tif	(120, 255)	15.64	15.38	15.64	1.79	0.0	79.23	1702679	736873	15.48	31.28	32.85	20.39	hemisphere, False	Advanced	21.87	29.68	43.61	4.85	68135414	False	None	None
f1_b1_30k2kx1_high.tif	(157, 255)	27.13	26.07	27.13	4.14	0.0	137.48	8096479	469365	1.26	2.66	8.07	88.01	hemisphere, False	Advanced	5.57	8.27	33.52	52.63	103466016	False	None	None
f1_b2_30k21_low.tif	(130, 255)	22.48	21.94	22.48	2.54	0.0	113.89	2525762	866699	10.38	23.63	33.36	32.63	hemisphere, False	Advanced	16.57	25.68	49.53	8.22	90383647	False	None	None
f1_b1_30k2kx1_low.tif	(150, 255)	32.69	30.96	32.69	5.46	0.0	165.64	14351949	402923	0.52	1.23	3.87	94.38	hemisphere, False	Advanced	3.35	5.5	23.05	68.1	128037118	False	None	None
f2_b1_30k31_low.tif	(112, 255)	19.61	19.27	19.61	1.86	0.0	99.37	2225477	766645	9.88	25.52	32.59	32.0	hemisphere, False	Advanced	15.88	27.2	48.5	8.42	79447613	False	None	None
f2_b2_5k21_high.tif	(129, 255)	1.25	1.19	1.25	6.88	0.0	0.55	6835	5401	58.37	38.76	2.87	0.0	hemisphere, False	Advanced	63.17	32.58	4.25	0.0	400427	False	None	None
f1_b2_5k21_high.tif	(133, 255)	1.5	1.44	1.5	5.51	0.0	0.66	8017	6228	55.78	40.0	4.22	0.0	hemisphere, False	Advanced	58.39	35.25	6.36	0.0	464743	False	None	None
f1_b1_100k11_high.tif	(144, 255)	35.62	32.98	35.62	7.93	0.01	46.29	1191355	706833	34.15	25.72	31.7	8.43	hemisphere, False	Advanced	39.39	22.3	36.45	1.86	49541693	True	28.35	6.98
f1_b2_100k11_high.tif	(128, 255)	27.1	26.24	26.94	3.11	0.16	43.82	1534623	1358757	77.93	15.84	6.23	0.0	hemisphere, False	Advanced	82.33	11.71	5.96	0.0	77521786	True	29.46	8.31
f1_b2_100k11_low.tif	(103, 255)	39.47	37.25	39.31	5.94	0.16	46.75	1294528	995555	56.82	25.52	17.66	0.0	hemisphere, False	Advanced	62.72	19.56	17.72	0.0	64304300	True	30.59	8.2
f2_b1_100k21_high.tif	(145, 255)	17.65	16.89	17.65	4.79	0.01	32.89	1284981	1057692	70.4	18.44	6.38	4.78	hemisphere, False	Advanced	77.94	14.3	6.87	0.89	57677520	True	30.01	5.56
f1_b1_100k11_low.tif	(138, 255)	38.28	34.89	38.27	9.29	0.01	46.15	1105138	644130	33.72	23.98	33.08	9.22	hemisphere, False	Advanced	38.98	21.03	37.97	2.02	46665198	True	30.9	7.2
f2_b1_100k21_low.tif	(112, 255)	28.86	27.12	28.86	6.61	0.01	32.68	1069217	813117	57.6	28.86	9.7	3.83	hemisphere, False	Advanced	65.58	22.7	10.88	0.85	46643459	True	31.81	5.32
f2_b2_50k31_high.tif	(138, 255)	16.24	15.8	16.14	2.42	0.1	66.91	1330537	896427	52.04	15.51	19.52	12.93	hemisphere, False	Advanced	62.57	15.18	19.83	2.41	77790151	True	38.84	12.11
f1_b2_50k11_high.tif	(130, 255)	25.61	25.1	25.48	1.72	0.13	48.23	1547081	1312467	71.4	20.92	6.89	0.79	hemisphere, False	Advanced	76.55	16.18	7.12	0.16	76319872	True	29.69	7.55
f1_b1_50kx31_low.tif	(120, 255)	49.19	37.42	49.15	26.01	0.04	56.85	7776167	192758	1.27	0.79	1.96	95.99	hemisphere, False	Advanced	12.34	5.53	17.09	65.04	43052609	True	31.79	8.79
f1_b2_50k11_low.tif	(110, 255)	35.71	34.65	35.65	3.09	0.06	37.43	1440484	988827	42.32	35.53	21.18	0.98	hemisphere, False	Advanced	47.67	28.52	23.62	0.2	55913966	True	25.02	5.65
f2_b2_50k31_low.tif	(100, 255)	42.17	39.1	42.17	7.47	0.0	41.2	1579755	386296	12.05	9.6	20.78	57.56	hemisphere, False	Advanced	24.92	14.6	41.99	18.48	37286512	True	28.88	6.22
f2_b1_50k21_high.tif	(121, 255)	62.59	16.67	62.59	73.53	0.0	60.04	741300	229296	17.44	14.2	17.1	51.27	hemisphere, False	Advanced	34.23	20.27	32.97	12.53	18118160	True	28.83	4.85
f1_b1_50kx31_high.tif	(133, 255)	40.33	36.89	40.28	8.93	0.05	70.01	3029196	419143	6.65	5.0	12.34	76.0	hemisphere, False	Advanced	21.44	11.3	36.71	30.55	54346261	True	31.43	8.3
f2_b1_50k21_low.tif	(119, 255)	64.77	15.05	64.77	76.9	0.0	61.65	505683	199113	22.28	16.94	23.13	37.66	hemisphere, False	Advanced	35.36	19.69	35.83	9.12	15596697	True	30.82	5.68
