#Filename	magnification	field of view(nm)	resolution	nm/pixel	despeckle	crop	thresholding	% Surface sampled	Area Sampled	IMJ particles (no noise)	nanoparticles	noise_particles	singles	doubles_equiv	mids_equiv	bigs_equiv	doubles_actual	mids_actual	bigs_actual	(%)singles_ratio_equiv_nonoise	(%)doubles_ratio_equiv_nonoise	(%)mids_ratio_equiv_nonoise	(%)bigs_ratio_equiv_nonoise	(%)noise_ratio_equiv_wnoise	(%)singles_ratio_equiv_wnoise	(%)doubles_ratio_equiv_wnoise	(%)mids_ratio_equiv_wnoise	(%)bigs_ratio_equiv_wnoise	(%)singles_ratio_actual_nonoise	(%)doubles_ratio_actual_nonoise	(%)mids_ratio_actual_nonoise	(%)bigs_ratio_actual_nonoise	(%)noise_ratio_actual_wnoise	(%)singles_ratio_actual_wnoise	(%)doubles_ratio_actual_wnoise	(%)mids_ratio_actual_wnoise	(%)bigs_ratio_actual_wnoise	bw_noisy(%)	part_cover(%)	bw_nonoise(%)	anal_part_error	noise_cover(%)	corr_cov(%)	Min Size Criteria Met	Diam Est (nm)	Sigma Est (nm)	protein (cluster style/fill cracks)	Coverage style	bsa on singles	bsa on doubles	bsa on mids	bsa on bigs	%bsa singles	%bsa doubles	%bsa mids	%bsa bigs	bsa total
f1_b2_30k21_high.tif	30000	(9479.0, 7109.0)	(1024, 768)	9.26	True	(5, 25, 989, 600)	(140, 255)	1.66	50846000.0	863924	1777205	0	5656	10118.0	9470	4210	5059	3560	43	19.2	34.35	32.15	14.29	0.0	19.2	34.35	32.15	14.29	39.5	35.33	24.86	0.3	0.0	39.5	35.33	24.86	0.3	16.47	16.14	16.47	2.15	0.0	83.98	False	None	None	hemisphere, False	Advanced	321342	391220.0	504463	36973	25.63	31.2	40.23	2.95	75664117
f2_b1_30k31_high.tif	30000	(9479.0, 7109.0)	(1024, 768)	9.26	True	(2, 14, 1020, 619)	(120, 255)	1.76	54100350.0	736873	1702679	0	4647	9392.0	9864	6122	4696	3577	74	15.48	31.28	32.85	20.39	0.0	15.48	31.28	32.85	20.39	35.76	36.14	27.53	0.57	0.0	35.76	36.14	27.53	0.57	15.64	15.38	15.64	1.79	0.0	79.23	False	None	None	hemisphere, False	Advanced	262713	356572.0	523971	58242	21.87	29.68	43.61	4.85	68135414
f1_b1_30k2kx1_high.tif	30000	(9479.0, 7109.0)	(1024, 768)	9.26	True	(2, 1, 1020, 625)	(157, 255)	1.78	54624747.0	469365	8096479	0	1822	3830.0	11627	126878	1915	3715	905	1.26	2.66	8.07	88.01	0.0	1.26	2.66	8.07	88.01	21.8	22.91	44.45	10.83	0.0	21.8	22.91	44.45	10.83	27.13	26.07	27.13	4.14	0.0	137.48	False	None	None	hemisphere, False	Advanced	102592	152400.0	617594	969616	5.57	8.27	33.52	52.63	103466016
f1_b2_30k21_low.tif	30000	(9479.0, 7109.0)	(1024, 768)	9.26	True	(5, 25, 989, 600)	(130, 255)	1.66	50846000.0	866699	2525762	0	4347	9890.0	13966	13657	4945	4924	148	10.38	23.63	33.36	32.63	0.0	10.38	23.63	33.36	32.63	30.26	34.43	34.28	1.03	0.0	30.26	34.43	34.28	1.03	22.48	21.94	22.48	2.54	0.0	113.89	False	None	None	hemisphere, False	Advanced	248239	384620.0	741883	123206	16.57	25.68	49.53	8.22	90383647
f1_b1_30k2kx1_low.tif	30000	(9479.0, 7109.0)	(1024, 768)	9.26	True	(2, 1, 1020, 625)	(150, 255)	1.78	54624747.0	402923	14351949	0	1317	3138.0	9894	241186	1569	3107	1181	0.52	1.23	3.87	94.38	0.0	0.52	1.23	3.87	94.38	18.36	21.87	43.31	16.46	0.0	18.36	21.87	43.31	16.46	32.69	30.96	32.69	5.46	0.0	165.64	False	None	None	hemisphere, False	Advanced	76287	125484.0	525555	1552362	3.35	5.5	23.05	68.1	128037118
f2_b1_30k31_low.tif	30000	(9479.0, 7109.0)	(1024, 768)	9.26	True	(2, 14, 1020, 619)	(112, 255)	1.76	54100350.0	766645	2225477	0	3879	10014.0	12791	12560	5007	4486	147	9.88	25.52	32.59	32.0	0.0	9.88	25.52	32.59	32.0	28.69	37.04	33.18	1.09	0.0	28.69	37.04	33.18	1.09	19.61	19.27	19.61	1.86	0.0	99.37	False	None	None	hemisphere, False	Advanced	222515	381014.0	679468	117980	15.88	27.2	48.5	8.42	79447613
f2_b2_5k21_high.tif	5000	(56873.0, 42655.0)	(1024, 768)	55.54	True	(637, 284, 371, 342)	(129, 255)	12.76	391391840.0	5401	6835	0	509	338.0	25	0	169	11	0	58.37	38.76	2.87	0.0	0.0	58.37	38.76	2.87	0.0	73.88	24.53	1.6	0.0	0.0	73.88	24.53	1.6	0.0	1.25	1.19	1.25	6.88	0.0	0.55	False	None	None	hemisphere, False	Advanced	32272	16642.0	2170	0	63.17	32.58	4.25	0.0	400427
f1_b2_5k21_high.tif	5000	(56873.0, 42655.0)	(1024, 768)	55.54	True	(4, 3, 434, 556)	(133, 255)	24.26	744348422.0	6228	8017	0	1085	778.0	82	0	389	37	0	55.78	40.0	4.22	0.0	0.0	55.78	40.0	4.22	0.0	71.81	25.74	2.45	0.0	0.0	71.81	25.74	2.45	0.0	1.5	1.44	1.5	5.51	0.0	0.66	False	None	None	hemisphere, False	Advanced	65840	39742.0	7174	0	58.39	35.25	6.36	0.0	464743
f1_b1_100k11_high.tif	100000	(2844.0, 2133.0)	(1024, 768)	2.78	True	(1, 33, 1017, 549)	(144, 255)	0.14	4305713.0	706833	1191355	19	571	430.0	530	141	215	204	2	34.15	25.72	31.7	8.43	1.12	33.77	25.43	31.34	8.34	57.56	21.67	20.56	0.2	1.88	56.48	21.27	20.18	0.2	35.62	32.98	35.62	7.93	0.01	46.29	True	28.35	6.98	hemisphere, False	Advanced	27389	15502.0	25342	1296	39.39	22.3	36.45	1.86	49541693
f1_b2_100k11_high.tif	100000	(2844.0, 2133.0)	(1024, 768)	2.78	True	(49, 64, 916, 568)	(128, 255)	0.13	4012320.0	1358757	1534623	123	1564	318.0	125	0	159	54	0	77.93	15.84	6.23	0.0	5.77	73.43	14.93	5.87	0.0	88.01	8.95	3.04	0.0	6.47	82.32	8.37	2.84	0.0	27.1	26.24	26.94	3.11	0.16	43.82	True	29.46	8.31	hemisphere, False	Advanced	83470	11876.0	6038	0	82.33	11.71	5.96	0.0	77521786
f1_b2_100k11_low.tif	100000	(2844.0, 2133.0)	(1024, 768)	2.78	True	(49, 64, 916, 568)	(103, 255)	0.13	4012320.0	995555	1294528	89	962	432.0	299	0	216	124	0	56.82	25.52	17.66	0.0	4.99	53.98	24.24	16.78	0.0	73.89	16.59	9.52	0.0	6.4	69.16	15.53	8.91	0.0	39.47	37.25	39.31	5.94	0.16	46.75	True	30.59	8.2	hemisphere, False	Advanced	52744	16448.0	14906	0	62.72	19.56	17.72	0.0	64304300
f2_b1_100k21_high.tif	100000	(2844.0, 2133.0)	(1024, 768)	2.78	True	(5, 18, 1012, 614)	(145, 255)	0.16	4791822.0	1057692	1284981	13	1413	370.0	128	96	185	53	1	70.4	18.44	6.38	4.78	0.64	69.95	18.32	6.34	4.75	85.53	11.2	3.21	0.06	0.78	84.86	11.11	3.18	0.06	17.65	16.89	17.65	4.79	0.01	32.89	True	30.01	5.56	hemisphere, False	Advanced	70216	12878.0	6188	804	77.94	14.3	6.87	0.89	57677520
f1_b1_100k11_low.tif	100000	(2844.0, 2133.0)	(1024, 768)	2.78	True	(1, 33, 1017, 549)	(138, 255)	0.14	4305713.0	644130	1105138	23	523	372.0	513	143	186	193	2	33.72	23.98	33.08	9.22	1.46	33.23	23.63	32.59	9.09	57.85	20.58	21.35	0.22	2.48	56.42	20.06	20.82	0.22	38.28	34.89	38.27	9.29	0.01	46.15	True	30.9	7.2	hemisphere, False	Advanced	25532	13770.0	24866	1324	38.98	21.03	37.97	2.02	46665198
f2_b1_100k21_low.tif	100000	(2844.0, 2133.0)	(1024, 768)	2.78	True	(5, 18, 1012, 614)	(112, 255)	0.16	4791822.0	813117	1069217	13	962	482.0	162	64	241	66	1	57.6	28.86	9.7	3.83	0.77	57.16	28.64	9.63	3.8	75.75	18.98	5.2	0.08	1.01	74.98	18.78	5.14	0.08	28.86	27.12	28.86	6.61	0.01	32.68	True	31.81	5.32	hemisphere, False	Advanced	47776	16534.0	7924	618	65.58	22.7	10.88	0.85	46643459
f2_b2_50k31_high.tif	50000	(5687.0, 4265.0)	(1024, 768)	5.55	True	(13, 32, 967, 598)	(138, 255)	0.58	17837723.0	896427	1330537	313	4026	1200.0	1510	1000	600	573	13	52.04	15.51	19.52	12.93	3.89	50.02	14.91	18.76	12.42	77.24	11.51	10.99	0.25	5.67	72.87	10.86	10.37	0.24	16.24	15.8	16.14	2.42	0.1	66.91	True	38.84	12.11	hemisphere, False	Advanced	283002	68654.0	89709	10922	62.57	15.18	19.83	2.41	77790151
f1_b2_50k11_high.tif	50000	(5687.0, 4265.0)	(1024, 768)	5.55	True	(14, 25, 984, 604)	(130, 255)	0.6	18333433.0	1312467	1547081	344	6601	1934.0	637	73	967	274	1	71.4	20.92	6.89	0.79	3.59	68.84	20.17	6.64	0.76	84.16	12.33	3.49	0.01	4.2	80.63	11.81	3.35	0.01	25.61	25.1	25.48	1.72	0.13	48.23	True	29.69	7.55	hemisphere, False	Advanced	349112	73794.0	32455	709	76.55	16.18	7.12	0.16	76319872
f1_b1_50kx31_low.tif	50000	(5687.0, 4265.0)	(1024, 768)	5.55	True	(0, 2, 625, 672)	(120, 255)	0.42	12955705.0	192758	7776167	60	416	260.0	642	31520	130	209	59	1.27	0.79	1.96	95.99	0.18	1.26	0.79	1.95	95.81	51.11	15.97	25.68	7.25	6.86	47.6	14.87	23.91	6.75	49.19	37.42	49.15	26.01	0.04	56.85	True	31.79	8.79	hemisphere, False	Advanced	22433	10062.0	31062	118250	12.34	5.53	17.09	65.04	43052609
f1_b2_50k11_low.tif	50000	(5687.0, 4265.0)	(1024, 768)	5.55	True	(14, 25, 984, 604)	(110, 255)	0.6	18333433.0	988827	1440484	151	3643	3058.0	1823	84	1529	736	1	42.32	35.53	21.18	0.98	1.72	41.59	34.91	20.81	0.96	61.65	25.88	12.46	0.02	2.49	60.12	25.23	12.15	0.02	35.71	34.65	35.65	3.09	0.06	37.43	True	25.02	5.65	hemisphere, False	Advanced	159271	95278.0	78921	659	47.67	28.52	23.62	0.2	55913966
f2_b2_50k31_low.tif	50000	(5687.0, 4265.0)	(1024, 768)	5.55	True	(13, 32, 967, 598)	(100, 255)	0.58	17837723.0	386296	1579755	1	1107	882.0	1909	5287	441	653	45	12.05	9.6	20.78	57.56	0.01	12.05	9.6	20.78	57.55	49.29	19.63	29.07	2.0	0.04	49.27	19.63	29.06	2.0	42.17	39.1	42.17	7.47	0.0	41.2	True	28.88	6.22	hemisphere, False	Advanced	54028	31656.0	91038	40069	24.92	14.6	41.99	18.48	37286512
f2_b1_50k21_high.tif	50000	(5687.0, 4265.0)	(1024, 768)	5.55	True	(6, 9, 1007, 625)	(121, 255)	0.63	19414278.0	229296	741300	8	818	666.0	802	2405	333	288	12	17.44	14.2	17.1	51.27	0.17	17.41	14.17	17.07	51.18	56.37	22.95	19.85	0.83	0.55	56.07	22.82	19.74	0.82	62.59	16.67	62.59	73.53	0.0	60.04	True	28.83	4.85	hemisphere, False	Advanced	39244	23244.0	37804	14361	34.23	20.27	32.97	12.53	18118160
f1_b1_50kx31_high.tif	50000	(5687.0, 4265.0)	(1024, 768)	5.55	True	(0, 2, 625, 672)	(133, 255)	0.42	12955705.0	419143	3029196	80	851	640.0	1579	9722	320	536	63	6.65	5.0	12.34	76.0	0.62	6.61	4.97	12.27	75.53	48.08	18.08	30.28	3.56	4.32	46.0	17.3	28.97	3.41	40.33	36.89	40.28	8.93	0.05	70.01	True	31.43	8.3	hemisphere, False	Advanced	49209	25924.0	84256	70110	21.44	11.3	36.71	30.55	54346261
f2_b1_50k21_low.tif	50000	(5687.0, 4265.0)	(1024, 768)	5.55	True	(6, 9, 1007, 625)	(119, 255)	0.63	19414278.0	199113	505683	7	713	542.0	740	1205	271	266	10	22.28	16.94	23.13	37.66	0.22	22.23	16.9	23.07	37.57	56.59	21.51	21.11	0.79	0.55	56.27	21.39	20.99	0.79	64.77	15.05	64.77	76.9	0.0	61.65	True	30.82	5.68	hemisphere, False	Advanced	34897	19430.0	35368	9002	35.36	19.69	35.83	9.12	15596697
